ablation,control_system,exactness,description,precision,recall,f1,delta_f1_vs_control,gt_coverage_iog03,delta_gt_coverage_iog03_vs_control,no_box_rate,source_path
ablation_path1_only_no_path2,GROVE_trace_qwen35_9b_final,exact_from_trace_pre_reasoning,Path 1 only: caption plus hazard reasoning plus grounding; no Path 2 verification.,0.4040,0.6714,0.5045,-0.0045,0.7530,0.0000,0.0120,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_path2_only_no_grounding,GROVE_trace_qwen35_9b_final,posthoc_lower_bound_trace_retained_only,Path 2 only lower-bound: retained Path 2 KEEP/REVISE hazards with all boxes stripped.,0.4444,0.6476,0.5271,0.0181,0.0000,-0.7530,1.0000,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_reconciliation_union,GROVE_trace_qwen35_9b_final,posthoc_union_rule,No reconciliation: simple union of Path 1 pre-reasoning candidates and final retained hazards.,0.4046,0.6762,0.5062,-0.0028,0.7530,0.0000,0.0119,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_groundingdino_only,GROVE_trace_qwen35_9b_final,posthoc_source_filter,GroundingDINO-only: Path 1 hazards retained only when the primary source produced a box.,0.4323,0.6238,0.5107,0.0017,0.7328,-0.0202,0.0000,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_gdino_detr_openclip_stack_only,GROVE_trace_qwen35_9b_final,exact_from_trace_grounded_pre_reasoning,GroundingDINO plus DETR/OpenCLIP fallback only: grounded Path 1 candidates before Path 2.,0.4087,0.6714,0.5081,-0.0009,0.7530,0.0000,0.0000,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_qwen_image_only_no_grounding,GROVE_trace_qwen35_9b_final,exact_cached_direct_identification_posthoc_no_boxes,Qwen-only image reasoning without grounding: direct Qwen 3.5 9B predictions with boxes removed.,0.3835,0.6190,0.4736,-0.0354,0.0000,-0.7530,1.0000,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl
ablation_caption_only_keyword_proxy,GROVE_trace_qwen35_9b_final,fallback_caption_keyword_proxy,"Caption-only deterministic fallback: taxonomy keyword cues in cached captions, no image/model rerun.",0.1637,0.9762,0.2804,-0.2286,0.0000,-0.7530,1.0000,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_image_only_reasoning,GROVE_trace_qwen35_9b_final,exact_cached_direct,Image-only single-pass Qwen 3.5 9B reasoning baseline.,0.3835,0.6190,0.4736,-0.0354,0.3887,-0.3643,0.3928,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl
ablation_no_fallback_grounding_drop,GROVE_trace_qwen35_9b_final,posthoc_source_filter,No fallback grounding: final hazards using DETR/OpenCLIP fallback are dropped.,0.4314,0.6286,0.5116,0.0026,0.7328,-0.0202,0.0139,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_fallback_grounding_boxes_removed,GROVE_trace_qwen35_9b_final,posthoc_box_filter,No fallback grounding: fallback boxes removed while hazard text/category decisions remain.,0.4080,0.6762,0.5090,0.0000,0.7328,-0.0202,0.1507,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_path2_verification,GROVE_trace_qwen35_9b_final,exact_from_trace_pre_reasoning,No Path 2 verification: alias of Path 1 pre-reasoning hazards.,0.4040,0.6714,0.5045,-0.0045,0.7530,0.0000,0.0120,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_path2_stage_correction,GROVE_trace_qwen35_9b_final,posthoc_text_match,No stage-specific correction from Path 2: final keep/drop decisions with pre-Path-2 category/risk labels restored when matched.,0.4080,0.6762,0.5090,0.0000,0.7530,0.0000,0.0120,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_grounded_final_only,GROVE_trace_qwen35_9b_final,posthoc_grounding_filter,Grounded final hazards only: final hazards without a valid box are removed.,0.4128,0.6762,0.5126,0.0036,0.7530,0.0000,0.0000,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
