system,family,description,exactness,control_system,source_path,records_in_source,images_evaluated,missing_prediction_images
GROVE_full_paper_archived,grove_main,Archived paper-facing GROVE Qwen 3.5 9B final reconciled outputs.,exact_cached_full_system,,<LOCAL_EVIDENCE_ROOT>/final_evaluation_package_2026-05-01/results/archived_raw_runs/exp01_modular_qwen_results/exp01_run1.jsonl,203,203,0
GROVE_trace_qwen35_9b_final,grove_trace_control,Trace-enabled current modular Qwen 3.5 9B final outputs used as ablation control.,exact_cached_trace_full_system,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
baseline_direct_gemma4_26b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_26b/exp_e2e_gemma4_26b_run1.jsonl,203,203,0
baseline_direct_gemma4_31b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_31b/exp_e2e_gemma4_31b_run1.jsonl,203,203,0
baseline_direct_gemma4_e2b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_e2b/exp_e2e_gemma4_e2b_run1.jsonl,203,203,0
baseline_direct_gemma4_e4b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_gemma4_e4b/exp_e2e_gemma4_e4b_run1.jsonl,203,203,0
baseline_direct_llama32_vision_11b_apr2026,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_llama32_vision_11b_apr2026/exp_e2e_llama32_vision_11b_apr2026_run1.jsonl,203,203,0
baseline_direct_qwen35_27b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_27b/exp_e2e_qwen35_27b_run1.jsonl,203,203,0
baseline_direct_qwen35_2b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_2b/exp_e2e_qwen35_2b_run1.jsonl,203,203,0
baseline_direct_qwen35_4b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_4b/exp_e2e_qwen35_4b_run1.jsonl,203,203,0
baseline_direct_qwen35_9b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl,203,203,0
baseline_direct_qwen36_35b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen36_35b/exp_e2e_qwen36_35b_run1.jsonl,203,203,0
baseline_direct_gemma3_12b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_gemma3_12b/results/exp_e2e_gemma3_12b_run1.jsonl,203,203,0
baseline_direct_gemma3_4b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_gemma3_4b/results/exp_e2e_gemma3_4b_run1.jsonl,203,203,0
baseline_direct_internvl3_5_8b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_internvl3_5_8b/results/exp_e2e_internvl3_5_8b_run1.jsonl,203,203,0
baseline_direct_llama32_vision_11b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_llama32_vision_11b/results/exp_e2e_llama32_vision_11b_run1.jsonl,203,203,0
baseline_direct_qwen_35b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_qwen_35b/results/exp_e2e_qwen_35b_run1.jsonl,203,203,0
baseline_direct_qwen_4b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_qwen_4b/results/exp_e2e_qwen_4b_run1.jsonl,203,203,0
baseline_direct_qwen_9b,baseline_single_pass,Single-pass image reasoning baseline from local cached JSONL.,exact_cached_baseline,,<LOCAL_EVIDENCE_ROOT>/code_files/exp_e2e_qwen_9b/results/exp_e2e_qwen_9b_run1.jsonl,203,203,0
ablation_path1_only_no_path2,ablation,Path 1 only: caption plus hazard reasoning plus grounding; no Path 2 verification.,exact_from_trace_pre_reasoning,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_path2_only_no_grounding,ablation,Path 2 only lower-bound: retained Path 2 KEEP/REVISE hazards with all boxes stripped.,posthoc_lower_bound_trace_retained_only,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_no_reconciliation_union,ablation,No reconciliation: simple union of Path 1 pre-reasoning candidates and final retained hazards.,posthoc_union_rule,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_groundingdino_only,ablation,GroundingDINO-only: Path 1 hazards retained only when the primary source produced a box.,posthoc_source_filter,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_gdino_detr_openclip_stack_only,ablation,GroundingDINO plus DETR/OpenCLIP fallback only: grounded Path 1 candidates before Path 2.,exact_from_trace_grounded_pre_reasoning,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_qwen_image_only_no_grounding,ablation,Qwen-only image reasoning without grounding: direct Qwen 3.5 9B predictions with boxes removed.,exact_cached_direct_identification_posthoc_no_boxes,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl,203,203,0
ablation_caption_only_keyword_proxy,ablation,"Caption-only deterministic fallback: taxonomy keyword cues in cached captions, no image/model rerun.",fallback_caption_keyword_proxy,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_image_only_reasoning,ablation,Image-only single-pass Qwen 3.5 9B reasoning baseline.,exact_cached_direct,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl,203,203,0
ablation_no_fallback_grounding_drop,ablation,No fallback grounding: final hazards using DETR/OpenCLIP fallback are dropped.,posthoc_source_filter,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_no_fallback_grounding_boxes_removed,ablation,No fallback grounding: fallback boxes removed while hazard text/category decisions remain.,posthoc_box_filter,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
ablation_no_path2_verification,ablation,No Path 2 verification: alias of Path 1 pre-reasoning hazards.,exact_from_trace_pre_reasoning,GROVE_trace_qwen35_9b_final,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl,203,203,0
