system,failure_type,image_name,event_type,category,gt_categories,pred_categories,grounding_sources,hazard_text,short_evidence
GROVE_full_paper_archived,primary_grounding_failure,1.jpg,FP,PPE_Violation,Other,Other|PPE_Violation,,"Missing PPE (hard hats, safety vests) for worker in background",hazard category emitted without a valid final grounded box
GROVE_full_paper_archived,fallback_grounding_failure,3.jpeg,FP,PPE_Violation,Fall_Hazard|Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.76, Match='cell phone')","Missing PPE (hard hats, safety vests)",fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,5.webp,FN,Other,Fall_Hazard|Housekeeping_Storage|Other,Fall_Hazard|Housekeeping_Storage,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,6.jpeg,FN,Fall_Hazard,Fall_Hazard|Other,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,6.jpeg,FN,Other,Fall_Hazard|Other,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,7.jpeg,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,8.jpeg,FP,CaughtInBetween_hazard,,CaughtInBetween_hazard|PPE_Violation,GroundingDINO,Potential unguarded machinery behind barriers,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,8.jpeg,FP,PPE_Violation,,CaughtInBetween_hazard|PPE_Violation,GroundingDINO,Missing hard hat on worker in foreground,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,9.jpeg,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,16.webp,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,26.jpeg,FP,PPE_Violation,Housekeeping_Storage,Housekeeping_Storage|PPE_Violation,GroundingDINO,Missing hard hats and high-visibility vests on workers in an active construction zone,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,28.webp,FN,Housekeeping_Storage,Housekeeping_Storage,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,32.webp,FP,Housekeeping_Storage,,Housekeeping_Storage,GroundingDINO,Poor housekeeping due to cluttered material storage and lack of defined walkways,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,39.avif,FP,Electrocution_Hazard,,Electrocution_Hazard|Other|PPE_Violation,"DETR+CLIP (Sim=0.75, Match='person')",Use of digital multimeter in an environment that may be live without verified de-energization and lockout/tagout (LOTO) procedures,fallback source on false-positive category
GROVE_full_paper_archived,fallback_grounding_failure,39.avif,FP,Other,,Electrocution_Hazard|Other|PPE_Violation,"DETR+CLIP (Sim=0.78, Match='person')",Lack of visible warning signs or barriers around open switchgear indicating high-voltage hazard or restricted access,fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,39.avif,FP,PPE_Violation,,Electrocution_Hazard|Other|PPE_Violation,GroundingDINO,"Worker exposed to live electrical components without arc-flash PPE (e.g., arc-rated clothing, face shield)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,42.webp,FN,Housekeeping_Storage,Electrocution_Hazard|Housekeeping_Storage,Electrocution_Hazard|Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,42.webp,FP,Fall_Hazard,Electrocution_Hazard|Housekeeping_Storage,Electrocution_Hazard|Fall_Hazard,GroundingDINO,Wet rooftop surface increasing slip/fall risk for workers performing maintenance tasks | Missing fall protection system despite presence of guardrail at roof edge; standing worker's harness strap suggests potential need for full-body harness if working near unprotected edges,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,44.jpeg,FP,Electrocution_Hazard,,Electrocution_Hazard|PPE_Violation,GroundingDINO,"Worker using a multimeter on an open electrical panel without verifying lockout/tagout (LOTO) status — potential for arc flash or shock if live parts are energized during testing. | Open electrical panel with exposed conductors, breakers, and terminals accessible during active testing — lack of physical barriers or warning signs around energized equipment.",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,44.jpeg,FP,PPE_Violation,,Electrocution_Hazard|PPE_Violation,GroundingDINO,Use of leather work gloves over insulated gloves while performing live electrical work — leather is not electrically insulating and can compromise glove integrity under voltage stress.,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,45.jpeg,FP,Fall_Hazard,Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard,"DETR+CLIP (Sim=0.75, Match='person')",Missing fall protection or guardrails if panel is elevated (not clearly visible but possible in industrial settings),fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,46.jpg,FN,Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard|PPE_Violation,Other|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,46.jpg,FN,Fall_Hazard,Electrocution_Hazard|Fall_Hazard|PPE_Violation,Other|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,46.jpg,FP,Other,Electrocution_Hazard|Fall_Hazard|PPE_Violation,Other|PPE_Violation,GroundingDINO,No visible warning signage on mobile aerial work platform,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,51.jpg,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.71, Match='person')|GroundingDINO",Unguarded cliff edge with only rope/chain barrier | Inadequate fall protection system for elevated work area,fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,51.jpg,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,GroundingDINO,"Missing PPE (hard hat, high-visibility vest) for individual standing near cliff edge",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,58.jpg,FP,Fall_Hazard,Other,Fall_Hazard|Other,GroundingDINO,Materials stored directly on the ground without protection from weather or damage; ladder leaning against wall without visible stabilization or fall protection measures in place | Unfinished building with open window openings lacking protective covers or barriers,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,59.jpg,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,GroundingDINO,Lack of fall protection system,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,59.jpg,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.68, Match='airplane')","Missing PPE (hard hat, high-visibility vest)",fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,60.jpg,FP,Housekeeping_Storage,,Housekeeping_Storage|PPE_Violation,GroundingDINO,Poor housekeeping,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,60.jpg,FP,PPE_Violation,,Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.80, Match='person')",Missing hard hat,fallback source on false-positive category
GROVE_full_paper_archived,fallback_grounding_failure,64.jpg,FP,Fall_Hazard,,Fall_Hazard|Housekeeping_Storage,"DETR+CLIP (Sim=0.79, Match='person')|GroundingDINO",Missing fall protection harnesses for workers on elevated surfaces (if applicable) | Lack of visible guardrails or barriers around open floor openings or edges (if present in background/upper levels),fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,64.jpg,FP,Housekeeping_Storage,,Fall_Hazard|Housekeeping_Storage,GroundingDINO,Improper storage or placement of gloves on workbench without containment (potential trip/fall hazard if cluttered),hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,65.jpg,FP,Housekeeping_Storage,PPE_Violation,Housekeeping_Storage|PPE_Violation,GroundingDINO,Motorcycle parked in active work zone without proper containment or warning signage,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,71.jpg,FP,Fall_Hazard,Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,"Missing fall protection (no guardrails, safety nets, or personal fall arrest systems visible in an unfinished interior space with exposed ceiling infrastructure)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,71.jpg,FP,PPE_Violation,Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,"Inconsistent PPE usage (some individuals not wearing gloves, which may be required for specific tasks)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,72.jpg,FP,Housekeeping_Storage,PPE_Violation,Housekeeping_Storage|PPE_Violation,GroundingDINO,Workers seated on stools/crates instead of designated seating or break areas,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,74.jpeg,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,GroundingDINO,Water bottle placed on guardrail,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,74.jpeg,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.73, Match='person')",Missing hard hats (baseball cap worn instead),fallback source on false-positive category
